id,gender,income,days_on_platform,purchases,city_London,city_Miami,city_New York City,city_San Francisco,city_Tokyo
0,0,126895,14.0,0,0,0,0,1,0
1,0,161474,14.0,0,0,0,0,0,1
2,0,104723,34.0,1,1,0,0,0,0
3,0,43791,28.0,2,1,0,0,0,0
4,1,132181,26.0,2,1,0,0,0,0
5,0,12315,14.0,0,0,0,1,0,0
6,0,51679,30.0,0,0,0,0,0,1
7,1,53341,43.0,1,0,0,0,1,0
8,0,129157,23.0,0,0,0,1,0,0
9,1,76842,19.0,2,0,0,0,0,1
10,0,159506,7.0,0,0,0,1,0,0
11,0,110343,30.0,1,0,0,0,1,0
12,0,130521,12.0,1,1,0,0,0,0
13,0,105418,13.0,0,0,1,0,0,0
14,0,95060,7.0,1,0,0,0,0,1
15,1,226249,20.0,0,0,1,0,0,0
16,1,51434,18.0,0,0,0,1,0,0
17,1,177582,2.0,0,1,0,0,0,0
18,1,260,32.0,0,0,0,0,1,0
19,1,15174,13.0,1,0,0,0,0,1
20,0,18300,15.0,1,0,0,0,0,1
21,0,67623,40.0,0,0,0,1,0,0
22,1,39433,36.0,2,0,1,0,0,0
23,1,108804,5.0,2,0,0,0,0,1
24,1,38777,2.0,2,0,0,0,1,0
25,1,112992,9.0,3,1,0,0,0,0
26,1,24300,34.0,0,0,0,0,0,1
27,0,12877,18.0,1,0,0,0,1,0
28,0,44684,15.0,4,0,0,0,0,1
29,0,70598,15.0,2,1,0,0,0,0
30,0,1070,32.0,2,0,0,1,0,0
31,0,25838,15.0,1,1,0,0,0,0
32,0,92621,4.0,0,0,0,1,0,0
33,0,19572,39.0,2,0,0,1,0,0
34,0,89058,8.0,1,0,0,1,0,0
35,1,21646,30.0,0,1,0,0,0,0
36,0,58738,52.0,1,0,0,0,1,0
37,0,111270,21.0,0,0,0,0,1,0
38,1,19003,25.0,2,0,0,0,1,0
39,0,4127,17.0,2,0,0,1,0,0
40,0,138533,20.0,3,0,0,1,0,0
41,1,37303,30.0,1,0,0,1,0,0
42,0,51178,9.0,1,1,0,0,0,0
43,0,52145,59.0,0,1,0,0,0,0
44,0,1062,28.0,2,0,0,0,0,1
45,0,142495,26.0,0,0,1,0,0,0
46,1,37129,29.0,0,1,0,0,0,0
47,0,9866,33.0,5,1,0,0,0,0
48,0,62665,35.0,0,0,0,0,1,0
49,1,107003,44.0,1,0,0,0,0,1
50,0,255965,22.0,1,0,0,0,0,1
51,0,85704,23.0,4,0,0,1,0,0
52,1,59313,15.0,0,0,0,1,0,0
53,1,95797,29.0,0,0,0,0,1,0
54,0,229581,50.0,1,0,1,0,0,0
55,1,114434,2.0,1,1,0,0,0,0
56,0,53427,59.0,3,0,1,0,0,0
57,0,97559,21.0,2,0,0,0,0,1
58,0,41515,2.0,1,0,1,0,0,0
59,1,47260,43.0,0,0,1,0,0,0
60,1,177953,59.0,0,0,1,0,0,0
61,0,72545,29.0,0,0,0,1,0,0
62,1,76525,30.0,0,0,0,0,0,1
63,0,115977,37.0,1,0,0,0,0,1
64,0,55581,2.0,0,0,1,0,0,0
65,1,10834,22.0,0,0,1,0,0,0
66,0,181514,11.0,1,0,0,0,1,0
67,0,148041,12.0,4,1,0,0,0,0
68,1,54724,25.0,0,0,0,0,0,1
69,0,117191,12.0,2,0,1,0,0,0
70,1,42665,6.0,0,1,0,0,0,0
71,1,76611,8.0,0,1,0,0,0,0
72,0,85827,27.0,0,0,0,0,1,0
73,1,10174,43.0,0,1,0,0,0,0
74,0,39736,31.0,4,0,0,0,0,1
75,1,158067,26.0,0,0,1,0,0,0
76,1,59422,42.0,0,1,0,0,0,0
77,0,31343,56.0,0,0,0,1,0,0
78,1,42850,4.0,0,0,0,0,1,0
79,0,5041,17.0,2,0,1,0,0,0
80,0,38877,23.0,1,0,1,0,0,0
81,0,32758,30.0,1,0,0,0,1,0
82,0,128031,59.0,0,0,0,0,0,1
83,1,117244,54.0,1,0,0,1,0,0
84,0,163307,12.0,1,0,0,1,0,0
85,1,39953,14.0,0,0,1,0,0,0
86,1,47038,21.0,1,1,0,0,0,0
87,1,29997,3.0,0,0,0,0,0,1
88,1,101285,36.0,0,0,0,0,1,0
89,1,8802,15.0,2,0,0,0,0,1
90,1,162074,55.0,0,0,1,0,0,0
91,1,66182,7.0,0,0,0,0,1,0
92,1,144971,59.0,0,0,0,0,1,0
93,0,9143,11.0,0,0,0,1,0,0
94,0,136740,10.0,0,1,0,0,0,0
95,1,54455,27.0,1,1,0,0,0,0
97,0,29338,47.0,2,0,0,1,0,0
98,0,39017,37.0,0,0,1,0,0,0
99,1,3550,11.0,1,0,0,0,0,1
100,0,17604,41.0,0,0,0,0,0,1
101,1,86038,21.0,1,0,0,0,1,0
102,0,90784,21.0,2,0,0,0,0,1
103,1,20144,22.0,2,0,0,0,0,1
104,0,24491,5.0,5,0,0,0,0,1
105,0,100126,12.0,3,0,1,0,0,0
106,0,56859,22.0,1,0,0,1,0,0
107,1,114142,10.0,2,0,0,0,1,0
108,0,76871,9.0,0,0,0,0,1,0
109,1,185647,10.0,0,1,0,0,0,0
110,1,31178,16.0,1,0,0,0,0,1
111,1,7982,9.0,1,0,1,0,0,0
112,0,111991,18.0,0,1,0,0,0,0
113,1,155979,9.0,2,0,0,0,0,1
114,1,41138,2.0,0,0,0,0,1,0
115,0,130458,13.0,0,0,0,0,1,0
116,0,28146,19.0,2,0,1,0,0,0
117,1,756,21.0,4,0,0,0,1,0
118,0,26825,9.0,1,0,0,0,0,1
119,1,82928,9.0,1,0,0,0,1,0
120,0,75743,4.0,0,1,0,0,0,0
121,1,133644,13.0,0,0,0,0,1,0
122,1,90495,19.0,2,0,0,0,1,0
123,0,15137,5.0,0,0,1,0,0,0
124,0,151420,50.0,0,0,0,0,1,0
125,0,19170,21.0,1,0,1,0,0,0
126,1,17003,4.0,0,0,0,0,1,0
127,0,6220,36.0,2,0,1,0,0,0
128,1,94003,11.0,2,0,1,0,0,0
129,0,88453,31.0,0,1,0,0,0,0
130,0,10941,8.0,0,0,0,1,0,0
131,0,149643,16.0,0,0,1,0,0,0
132,1,94844,31.0,3,0,0,1,0,0
133,1,75438,12.0,1,0,0,0,0,1
134,0,231131,59.0,2,0,0,1,0,0
135,0,47626,31.0,0,0,0,0,0,1
136,1,66226,55.0,0,0,0,0,1,0
137,1,31279,15.0,0,0,0,0,1,0
138,0,64889,21.0,1,0,0,1,0,0
139,0,62570,1.0,0,1,0,0,0,0
140,0,46470,29.0,2,0,1,0,0,0
141,0,130567,40.0,0,0,1,0,0,0
142,1,18409,6.0,5,0,0,1,0,0
143,1,199128,11.0,2,0,0,0,0,1
144,0,15078,6.0,2,0,0,0,1,0
145,0,23834,17.0,2,1,0,0,0,0
146,0,143915,59.0,0,0,1,0,0,0
147,0,195904,47.0,4,0,0,0,0,1
148,0,95196,59.0,1,1,0,0,0,0
149,0,54390,11.0,0,0,0,1,0,0
150,0,12539,36.0,0,0,1,0,0,0
151,0,30446,37.0,1,1,0,0,0,0
152,0,45020,42.0,0,0,0,0,1,0
153,1,166254,2.0,1,0,0,0,1,0
154,0,92582,36.0,0,0,0,0,1,0
155,1,73993,59.0,0,0,0,0,1,0
156,1,66887,5.0,0,0,1,0,0,0
157,0,177228,4.0,0,0,1,0,0,0
158,1,142610,11.0,0,0,0,0,1,0
159,0,26650,7.0,1,0,1,0,0,0
160,0,201813,22.0,1,0,0,1,0,0
161,1,202365,34.0,4,1,0,0,0,0
162,1,57256,19.0,0,0,0,1,0,0
163,0,110882,54.0,0,0,0,1,0,0
164,1,156060,38.0,1,0,1,0,0,0
165,1,164730,22.0,0,0,0,0,0,1
166,0,32204,45.0,3,1,0,0,0,0
167,0,7903,59.0,1,0,0,0,0,1
168,0,44825,27.0,3,1,0,0,0,0
169,0,9465,27.0,0,0,1,0,0,0
170,1,222205,20.0,1,0,0,1,0,0
171,0,58152,16.0,2,0,0,0,1,0
172,0,116918,48.0,1,1,0,0,0,0
173,0,65525,59.0,0,0,0,0,1,0
174,0,54619,2.0,0,0,0,0,0,1
175,0,92662,32.0,2,0,0,0,0,1
176,1,93672,45.0,3,0,1,0,0,0
177,1,57929,59.0,0,0,1,0,0,0
178,0,116878,6.0,0,0,0,0,0,1
179,1,81535,35.0,2,0,0,1,0,0
180,0,96055,6.0,2,0,0,0,1,0
181,0,9076,30.0,0,1,0,0,0,0
182,1,118228,16.0,1,0,0,1,0,0
183,1,223669,13.0,0,0,0,0,0,1
184,0,165119,48.0,0,0,1,0,0,0
185,0,63724,59.0,4,0,0,1,0,0
186,0,91477,45.0,0,0,0,1,0,0
187,1,51931,25.0,1,0,0,1,0,0
188,1,33888,28.0,4,0,0,0,0,1
189,0,87521,8.0,2,0,0,0,1,0
190,1,59732,38.0,2,0,1,0,0,0
191,0,1497,40.0,0,0,0,0,1,0
192,1,53355,35.0,2,0,0,1,0,0
193,1,58820,32.0,0,0,1,0,0,0
194,1,8528,28.0,0,0,0,0,0,1
195,0,65742,5.0,0,0,0,0,0,1
196,1,92148,21.0,0,0,1,0,0,0
197,0,95618,1.0,2,0,0,1,0,0
198,0,107407,59.0,2,0,1,0,0,0
199,1,59834,23.0,0,0,0,1,0,0
201,0,13623,6.0,1,1,0,0,0,0
202,1,86803,21.0,2,0,1,0,0,0
203,0,18550,7.0,2,0,0,0,1,0
204,0,104020,23.0,0,0,1,0,0,0
205,1,44566,11.0,1,0,0,0,1,0
206,1,21208,21.0,0,0,1,0,0,0
207,0,47767,34.0,1,0,0,1,0,0
208,1,9443,19.0,0,1,0,0,0,0
209,0,93917,59.0,0,0,0,1,0,0
210,1,81841,26.0,0,0,0,0,1,0
211,0,107947,8.0,0,1,0,0,0,0
212,0,103234,45.0,1,0,0,0,0,1
213,1,46751,27.0,2,0,1,0,0,0
214,1,180960,20.0,0,1,0,0,0,0
215,0,87026,7.0,0,0,0,0,1,0
216,1,63933,26.0,0,0,1,0,0,0
217,1,117001,17.0,1,0,0,0,1,0
218,1,162512,32.0,0,0,0,1,0,0
219,1,214361,7.0,0,0,0,1,0,0
220,1,18746,13.0,2,0,1,0,0,0
221,0,176177,19.0,0,0,0,0,0,1
222,1,72151,19.0,0,0,0,1,0,0
223,1,121436,20.0,1,0,1,0,0,0
224,0,68863,21.0,0,0,0,1,0,0
225,0,58735,16.0,2,0,1,0,0,0
226,0,46948,40.0,1,0,0,1,0,0
227,0,69553,22.0,2,0,0,0,1,0
228,0,225512,29.0,3,1,0,0,0,0
229,0,52330,40.0,0,0,0,1,0,0
230,0,72162,55.0,0,0,1,0,0,0
231,0,33271,5.0,2,0,0,0,1,0
232,1,113856,21.0,1,1,0,0,0,0
233,0,100904,44.0,0,0,1,0,0,0
234,0,129974,26.0,3,0,1,0,0,0
235,0,59623,4.0,1,0,0,1,0,0
236,1,31939,6.0,2,0,1,0,0,0
237,1,109978,13.0,3,0,0,1,0,0
238,0,41849,59.0,3,0,1,0,0,0
239,1,26458,10.0,0,1,0,0,0,0
240,1,134876,5.0,4,0,0,0,1,0
241,0,47598,32.0,2,0,0,1,0,0
242,1,14414,4.0,0,0,1,0,0,0
243,1,9940,20.0,0,0,0,0,1,0
244,0,43655,12.0,2,0,0,1,0,0
245,0,70872,42.0,0,0,0,0,0,1
246,0,135260,8.0,0,0,0,0,1,0
247,1,103129,14.0,2,0,0,0,1,0
248,0,117416,22.0,2,1,0,0,0,0
250,0,102207,28.0,1,0,0,0,1,0
251,1,15994,21.0,1,1,0,0,0,0
252,0,38532,23.0,0,0,0,1,0,0
253,1,2806,22.0,4,0,0,0,0,1
254,0,165761,42.0,2,0,0,0,1,0
255,1,116481,11.0,0,0,1,0,0,0
256,1,34454,49.0,0,0,0,0,1,0
257,1,151527,59.0,1,0,1,0,0,0
258,1,61643,44.0,0,1,0,0,0,0
259,0,193218,19.0,0,0,0,0,1,0
260,0,117703,59.0,2,0,0,0,0,1
261,0,91100,13.0,1,0,0,1,0,0
262,1,14049,21.0,1,0,0,0,1,0
263,1,123797,40.0,1,0,0,0,1,0
264,1,22956,59.0,2,0,0,0,1,0
265,1,73251,35.0,0,1,0,0,0,0
266,1,118296,6.0,2,0,0,0,0,1
267,0,24368,3.0,1,0,0,0,0,1
268,1,8527,50.0,1,0,0,0,1,0
269,1,136491,11.0,3,0,0,1,0,0
270,0,8492,20.0,0,0,1,0,0,0
271,0,71369,28.0,0,0,0,0,1,0
272,1,60457,11.0,2,0,0,0,1,0
273,0,197033,13.0,0,1,0,0,0,0
274,1,118176,28.0,0,0,0,1,0,0
275,1,14399,17.0,0,0,0,0,1,0
276,0,135846,10.0,0,0,0,1,0,0
277,0,118400,36.0,3,0,0,1,0,0
278,1,72892,35.0,2,0,0,0,0,1
279,0,53648,21.0,0,0,0,1,0,0
280,1,29293,25.0,1,0,0,1,0,0
281,1,107097,24.0,0,0,1,0,0,0
282,1,51214,49.0,1,1,0,0,0,0
283,1,95353,14.0,2,0,0,0,1,0
284,0,166825,16.0,2,0,0,0,1,0
285,0,128826,13.0,1,0,1,0,0,0
286,0,196019,4.0,0,0,0,0,1,0
287,0,40812,18.0,0,0,0,1,0,0
288,0,142414,38.0,0,0,0,0,0,1
289,0,229541,28.0,0,0,0,1,0,0
290,0,70387,37.0,0,0,0,0,1,0
291,1,126700,22.0,1,1,0,0,0,0
292,1,16968,14.0,0,0,0,0,1,0
293,0,55754,3.0,2,0,0,0,0,1
294,1,76339,8.0,0,0,0,0,0,1
295,0,55774,3.0,2,0,0,0,0,1
296,1,93440,11.0,1,1,0,0,0,0
297,0,10181,13.0,0,0,0,1,0,0
298,1,47546,26.0,3,0,0,0,0,1
299,1,147687,21.0,2,0,0,0,1,0
300,1,143031,1.0,1,0,1,0,0,0
301,0,222541,24.0,5,0,0,1,0,0
302,0,136946,39.0,0,0,0,0,0,1
303,0,46745,15.0,0,1,0,0,0,0
304,1,109273,26.0,0,0,1,0,0,0
305,0,102269,1.0,1,0,0,1,0,0
306,0,36351,29.0,0,1,0,0,0,0
307,0,219073,10.0,0,0,0,0,1,0
308,1,191620,51.0,3,0,0,1,0,0
309,0,164043,21.0,1,0,1,0,0,0
310,1,67403,25.0,0,0,1,0,0,0
311,1,78530,40.0,2,0,1,0,0,0
312,1,16574,24.0,4,0,1,0,0,0
313,1,116155,31.0,1,0,0,0,0,1
314,0,43535,29.0,0,0,0,1,0,0
315,0,14583,30.0,0,0,0,0,0,1
316,1,56863,43.0,0,1,0,0,0,0
317,0,62405,11.0,1,1,0,0,0,0
318,1,124711,59.0,1,0,0,0,1,0
319,1,60096,3.0,1,0,0,1,0,0
320,0,127181,8.0,3,0,1,0,0,0
321,0,52010,36.0,1,0,0,0,1,0
322,0,70368,1.0,0,0,0,1,0,0
323,0,92534,49.0,5,0,1,0,0,0
324,0,142883,25.0,2,0,0,0,0,1
325,1,49016,8.0,0,0,1,0,0,0
326,0,49526,22.0,0,0,1,0,0,0
327,1,133043,1.0,2,0,0,0,0,1
328,1,26568,5.0,0,0,0,0,1,0
329,1,106406,4.0,1,0,0,1,0,0
330,1,19277,11.0,2,0,1,0,0,0
331,1,49997,24.0,1,0,0,0,0,1
332,0,6621,22.0,0,0,1,0,0,0
333,1,109924,1.0,0,0,0,0,0,1
334,1,40738,30.0,1,0,0,0,0,1
335,1,40367,2.0,0,0,0,1,0,0
336,1,127959,21.0,1,1,0,0,0,0
337,0,41229,4.0,2,1,0,0,0,0
338,0,12706,21.0,0,0,0,0,0,1
339,0,69105,59.0,0,1,0,0,0,0
340,1,171356,6.0,0,0,0,0,1,0
341,0,68153,48.0,2,0,0,0,1,0
342,1,89097,42.0,2,0,0,1,0,0
343,0,13644,33.0,0,0,0,1,0,0
344,1,30375,7.0,1,0,0,1,0,0
345,1,46850,14.0,0,0,0,1,0,0
346,0,122065,8.0,3,0,0,0,1,0
347,1,55674,1.0,0,0,0,0,0,1
348,0,16021,36.0,2,0,0,1,0,0
349,0,154170,2.0,3,0,0,1,0,0
350,0,84636,42.0,3,0,0,0,1,0
351,1,42695,59.0,0,0,1,0,0,0
352,1,16986,21.0,2,0,0,0,1,0
353,1,4526,2.0,2,0,0,1,0,0
354,1,70705,24.0,1,0,0,0,1,0
355,0,145418,23.0,2,0,0,1,0,0
356,1,44585,15.0,2,1,0,0,0,0
357,0,8193,21.0,2,0,1,0,0,0
358,1,121494,1.0,0,0,1,0,0,0
359,1,182301,30.0,0,0,0,0,1,0
360,0,132229,32.0,0,0,0,0,1,0
361,1,107281,45.0,2,0,0,0,0,1
362,1,82995,22.0,2,0,0,1,0,0
363,0,51093,42.0,1,0,0,0,1,0
364,1,48212,17.0,1,1,0,0,0,0
365,1,48359,13.0,1,0,0,0,1,0
366,1,39662,30.0,0,0,0,1,0,0
367,0,225174,59.0,2,0,0,1,0,0
368,0,106242,16.0,2,0,0,0,0,1
369,1,120174,14.0,0,0,0,0,0,1
370,0,16489,8.0,0,1,0,0,0,0
371,0,63377,7.0,1,0,0,1,0,0
372,0,41645,22.0,0,0,0,0,0,1
373,0,41042,6.0,1,0,0,1,0,0
374,0,224864,58.0,2,1,0,0,0,0
375,1,126258,29.0,1,1,0,0,0,0
376,0,78731,16.0,0,0,0,0,0,1
377,0,3940,46.0,0,0,1,0,0,0
378,0,51462,22.0,2,0,0,0,1,0
379,0,58135,17.0,2,0,0,0,1,0
380,0,18286,56.0,1,0,1,0,0,0
381,1,61236,23.0,1,0,0,1,0,0
382,1,69239,9.0,0,0,1,0,0,0
383,1,27938,24.0,0,0,1,0,0,0
384,1,179794,10.0,1,1,0,0,0,0
385,1,76830,17.0,0,0,0,0,1,0
386,0,92283,37.0,0,0,0,0,0,1
387,1,89170,7.0,1,0,0,0,0,1
388,0,40281,23.0,1,0,0,0,1,0
389,0,31937,29.0,0,0,0,0,0,1
390,1,33294,35.0,0,0,0,0,1,0
391,0,27508,21.0,1,0,0,0,1,0
392,1,69827,36.0,2,0,0,1,0,0
393,0,69817,22.0,1,0,0,1,0,0
394,0,39487,38.0,2,0,0,0,0,1
395,0,42296,30.0,1,0,0,1,0,0
396,1,71916,7.0,4,0,1,0,0,0
397,1,90719,31.0,1,0,0,0,1,0
398,0,93850,54.0,1,0,1,0,0,0
